frame.time_epoch,ip.src,ip.dst,ip.len,icmp.type,udp.dstport,udp.length,tcp.flags.syn,tcp.flags.ack,tcp.dstport,tcp.seq,tcp.ack,ip.ttl,arp.src.proto_ipv4,arp.dst.proto_ipv4,arp.opcode
"1746182617.056300000","34.160.144.191","192.168.45.101","2852",,,,"0","1","58680","1","221","116",,,
"1746182617.056301000","34.160.144.191","192.168.45.101","309",,,,"0","1","58680","2801","221","116",,,
"1746182617.056323000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","221","2801","64",,,
"1746182617.056404000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","221","3058","64",,,
"1746182617.056446000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","221","2801","64",,,
"1746182617.056495000","192.168.45.101","34.160.144.191","52",,,,"0","1","443","221","3058","64",,,
"1746182617.061007000","192.168.45.101","34.160.144.191","145",,,,"0","1","443","221","3058","64",,,
"1746182617.065489000","192.168.45.101","34.160.144.191","145",,,,"0","1","443","221","3058","64",,,
"1746182617.073918000","34.160.144.191","192.168.45.101","363",,,,"0","1","58664","3058","314","115",,,
"1746182617.073919000","34.160.144.191","192.168.45.101","121",,,,"0","1","58664","3369","314","115",,,
"1746182617.082626000","34.160.144.191","192.168.45.101","363",,,,"0","1","58680","3058","314","116",,,
"1746182617.082627000","34.160.144.191","192.168.45.101","121",,,,"0","1","58680","3369","314","116",,,
"1746182617.102571000","34.160.144.191","192.168.45.101","121",,,,"0","1","58664","3369","314","115",,,
"1746182617.102572000","34.160.144.191","192.168.45.101","121",,,,"0","1","58680","3369","314","116",,,
"1746182617.102590000","192.168.45.101","34.160.144.191","64",,,,"0","1","443","314","3438","64",,,
"1746182617.102668000","192.168.45.101","34.160.144.191","64",,,,"0","1","443","314","3438","64",,,
"1746182617.111260000","192.168.45.101","210.220.163.82","72",,"53","52",,,,,,"64",,,
"1746182617.111589000","192.168.45.101","210.220.163.82","72",,"53","52",,,,,,"64",,,
"1746182617.125187000","210.220.163.82","192.168.45.101","171",,"37463","151",,,,,,"248",,,
