frame.time_epoch,ip.src,ip.dst,ip.len,icmp.type,udp.dstport,udp.length,tcp.flags.syn,tcp.flags.ack,tcp.dstport,tcp.seq,tcp.ack,ip.ttl,arp.src.proto_ipv4,arp.dst.proto_ipv4,arp.opcode
"1745912311.508691000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.509898000","172.20.10.6","172.20.10.5","44",,,,"1","0","1031","0","0","57",,,
"1745912311.509941000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.510233000","172.20.10.6","172.20.10.5","44",,,,"1","0","60443","0","0","47",,,
"1745912311.510268000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.510444000","172.20.10.6","172.20.10.5","44",,,,"1","0","1839","0","0","39",,,
"1745912311.510476000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.510636000","172.20.10.6","172.20.10.5","44",,,,"1","0","8899","0","0","42",,,
"1745912311.510777000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.510929000","172.20.10.6","172.20.10.5","44",,,,"1","0","2038","0","0","40",,,
"1745912311.510962000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.511218000","172.20.10.6","172.20.10.5","44",,,,"1","0","1091","0","0","40",,,
"1745912311.511251000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.511413000","172.20.10.6","172.20.10.5","44",,,,"1","0","13783","0","0","46",,,
"1745912311.511445000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.511630000","172.20.10.6","172.20.10.5","44",,,,"1","0","1035","0","0","58",,,
"1745912311.511630000","172.20.10.6","172.20.10.5","44",,,,"1","0","10180","0","0","56",,,
"1745912311.511663000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.511780000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.511900000","172.20.10.6","172.20.10.5","44",,,,"1","0","3030","0","0","57",,,
"1745912311.511929000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.512090000","172.20.10.6","172.20.10.5","44",,,,"1","0","1082","0","0","38",,,
"1745912311.512121000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.512468000","172.20.10.6","172.20.10.5","44",,,,"1","0","2144","0","0","54",,,
"1745912311.512502000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.512665000","172.20.10.6","172.20.10.5","44",,,,"1","0","1081","0","0","43",,,
"1745912311.512665000","172.20.10.6","172.20.10.5","44",,,,"1","0","2869","0","0","50",,,
"1745912311.512688000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.512800000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.513044000","172.20.10.6","172.20.10.5","44",,,,"1","0","6004","0","0","41",,,
"1745912311.513072000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.513224000","172.20.10.6","172.20.10.5","44",,,,"1","0","1117","0","0","46",,,
